,match,team_inning,batting_pos,player_name,player_profile,out/not_out,run,balls,maiden,4s,6s,strike_rate
0,Namibia Vs Sri Lanka,Namibia,1,Michael van Lingen,https://www.espncricinfo.com/cricketers/michael-van-lingen-833777,c Pramod Madushan b Chameera,3,6,7,0,0,50.00
1,Namibia Vs Sri Lanka,Namibia,2,Divan la Cock,https://www.espncricinfo.com/cricketers/divan-la-cock-1178065,c Shanaka b Pramod Madushan,9,9,15,1,0,100.00
2,Namibia Vs Sri Lanka,Namibia,3,Jan Nicol Loftie-Eaton,https://www.espncricinfo.com/cricketers/jan-nicol-loftie-eaton-1071473,c †Mendis b Karunaratne,20,12,18,1,2,166.66
3,Namibia Vs Sri Lanka,Namibia,4,Stephan Baard,https://www.espncricinfo.com/cricketers/stephan-baard-437927,c DM de Silva b Pramod Madushan,26,24,49,2,0,108.33
4,Namibia Vs Sri Lanka,Namibia,5,Gerhard Erasmus (c),https://www.espncricinfo.com/cricketers/gerhard-erasmus-519070,c Gunathilaka b PWH de Silva,20,24,30,0,0,83.33
5,Namibia Vs Sri Lanka,Namibia,6,Jan Frylinck,https://www.espncricinfo.com/cricketers/jan-frylinck-482478,run out (Gunathilaka/†Mendis),44,28,44,4,0,157.14
6,Namibia Vs Sri Lanka,Namibia,7,David Wiese,https://www.espncricinfo.com/cricketers/david-wiese-221140,c †Mendis b Theekshana,0,1,4,0,0,0.00
7,Namibia Vs Sri Lanka,Namibia,8,JJ Smit,https://www.espncricinfo.com/cricketers/jj-smit-553821,not out ,31,16,29,2,2,193.75
8,Namibia Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,https://www.espncricinfo.com/cricketers/pathum-nissanka-1028655,c Smit b Shikongo,9,10,16,1,0,90.00
9,Namibia Vs Sri Lanka,Sri Lanka,2,Kusal Mendis †,https://www.espncricinfo.com/cricketers/kusal-mendis-629074,c †Green b Wiese,6,6,8,0,0,100.00
10,Namibia Vs Sri Lanka,Sri Lanka,3,Dhananjaya de Silva,https://www.espncricinfo.com/cricketers/dhananjaya-de-silva-465793,c Shikongo b Frylinck,12,11,25,1,0,109.09
11,Namibia Vs Sri Lanka,Sri Lanka,4,Danushka Gunathilaka,https://www.espncricinfo.com/cricketers/danushka-gunathilaka-345821,c †Green b Shikongo,0,1,2,0,0,0.00
12,Namibia Vs Sri Lanka,Sri Lanka,5,Bhanuka Rajapaksa,https://www.espncricinfo.com/cricketers/bhanuka-rajapaksa-342619,c la Cock b Scholtz,20,21,39,2,0,95.23
13,Namibia Vs Sri Lanka,Sri Lanka,6,Dasun Shanaka (c),https://www.espncricinfo.com/cricketers/dasun-shanaka-437316,c †Green b Frylinck,29,23,37,2,1,126.08
14,Namibia Vs Sri Lanka,Sri Lanka,7,Wanindu Hasaranga,https://www.espncricinfo.com/cricketers/wanindu-hasaranga-784379,c Loftie-Eaton b Scholtz,4,8,9,0,0,50.00
15,Namibia Vs Sri Lanka,Sri Lanka,8,Chamika Karunaratne,https://www.espncricinfo.com/cricketers/chamika-karunaratne-623695,c Baard b Smit,5,8,15,0,0,62.50
16,Namibia Vs Sri Lanka,Sri Lanka,9,Pramod Madushan,https://www.espncricinfo.com/cricketers/pramod-madushan-826689,run out (van Lingen/†Green),0,0,4,0,0,-
17,Namibia Vs Sri Lanka,Sri Lanka,10,Dushmantha Chameera,https://www.espncricinfo.com/cricketers/dushmantha-chameera-552152,c Erasmus b Wiese,8,15,20,0,0,53.33
18,Namibia Vs Sri Lanka,Sri Lanka,11,Maheesh Theekshana,https://www.espncricinfo.com/cricketers/maheesh-theekshana-1138316,not out ,11,11,14,0,1,100.00
19,United Arab Emirates Vs Netherlands,United Arab Emirates,1,Chirag Suri,https://www.espncricinfo.com/cricketers/chirag-suri-534734,c †Edwards b van der Merwe,12,20,28,1,0,60.00
20,United Arab Emirates Vs Netherlands,United Arab Emirates,2,Muhammad Waseem,https://www.espncricinfo.com/cricketers/muhammad-waseem-1241277,c Pringle b Klaassen,41,47,71,1,2,87.23
21,United Arab Emirates Vs Netherlands,United Arab Emirates,3,Kashif Daud,https://www.espncricinfo.com/cricketers/kashif-daud-229225, b Pringle,15,14,19,0,1,107.14
22,United Arab Emirates Vs Netherlands,United Arab Emirates,4,Vriitya Aravind †,https://www.espncricinfo.com/cricketers/vriitya-aravind-1178586,c Klaassen b de Leede,18,21,37,0,0,85.71
23,United Arab Emirates Vs Netherlands,United Arab Emirates,5,Zawar Farid,https://www.espncricinfo.com/cricketers/zawar-farid-1196500,run out (Ackermann/†Edwards),2,4,8,0,0,50.00
24,United Arab Emirates Vs Netherlands,United Arab Emirates,6,Basil Hameed,https://www.espncricinfo.com/cricketers/basil-hameed-1209110,c van der Merwe b de Leede,4,4,7,1,0,100.00
25,United Arab Emirates Vs Netherlands,United Arab Emirates,7,Chundangapoyil Rizwan (c),https://www.espncricinfo.com/cricketers/chundangapoyil-rizwan-474760, b de Leede,1,2,7,0,0,50.00
26,United Arab Emirates Vs Netherlands,United Arab Emirates,8,Aayan Afzal Khan,https://www.espncricinfo.com/cricketers/aayan-afzal-khan-1241265,c Cooper b Klaassen,5,7,8,0,0,71.42
27,United Arab Emirates Vs Netherlands,United Arab Emirates,9,Karthik Meiyappan,https://www.espncricinfo.com/cricketers/karthik-meiyappan-1058987,not out ,0,0,4,0,0,-
28,United Arab Emirates Vs Netherlands,United Arab Emirates,10,Junaid Siddique,https://www.espncricinfo.com/cricketers/junaid-siddique-1203754,not out ,0,1,1,0,0,0.00
29,United Arab Emirates Vs Netherlands,Netherlands,1,Vikramjit Singh,https://www.espncricinfo.com/cricketers/vikramjit-singh-1153767, b Basil Hameed,10,7,8,2,0,142.85
30,United Arab Emirates Vs Netherlands,Netherlands,2,Max O'Dowd,https://www.espncricinfo.com/cricketers/max-o-dowd-643197, b Junaid Siddique,23,18,25,3,1,127.77
31,United Arab Emirates Vs Netherlands,Netherlands,3,Bas de Leede,https://www.espncricinfo.com/cricketers/bas-de-leede-1036191,c Rizwan b Meiyappan,14,18,37,1,0,77.77
32,United Arab Emirates Vs Netherlands,Netherlands,4,Colin Ackermann,https://www.espncricinfo.com/cricketers/colin-ackermann-379774,c Junaid Siddique b Aayan Afzal Khan,17,19,33,1,0,89.47
33,United Arab Emirates Vs Netherlands,Netherlands,5,Tom Cooper,https://www.espncricinfo.com/cricketers/tom-cooper-219885,lbw b Junaid Siddique,8,16,22,0,0,50.00
