,match,bowling_team,bowler,bowler_profile,over,maiden,runs,wickets,economy,0s,4s,6s,wides,no_balls,match_id
0,Namibia Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,https://www.espncricinfo.com/cricketers/maheesh-theekshana-1138316,4.0,0,23,1,5.75,7,0,0,2,0,T20I # 1823
1,Namibia Vs Sri Lanka,Sri Lanka,Dushmantha Chameera,https://www.espncricinfo.com/cricketers/dushmantha-chameera-552152,4.0,0,39,1,9.75,6,3,1,2,0,T20I # 1823
2,Namibia Vs Sri Lanka,Sri Lanka,Pramod Madushan,https://www.espncricinfo.com/cricketers/pramod-madushan-826689,4.0,0,37,2,9.25,6,3,1,0,0,T20I # 1823
3,Namibia Vs Sri Lanka,Sri Lanka,Chamika Karunaratne,https://www.espncricinfo.com/cricketers/chamika-karunaratne-623695,4.0,0,36,1,9.0,7,3,1,1,0,T20I # 1823
4,Namibia Vs Sri Lanka,Sri Lanka,Wanindu Hasaranga,https://www.espncricinfo.com/cricketers/wanindu-hasaranga-784379,4.0,0,27,1,6.75,8,1,1,0,0,T20I # 1823
5,Namibia Vs Sri Lanka,Namibia,Gerhard Erasmus,https://www.espncricinfo.com/cricketers/gerhard-erasmus-519070,1.0,0,8,0,8.0,1,1,0,0,0,T20I # 1823
6,Namibia Vs Sri Lanka,Namibia,David Wiese,https://www.espncricinfo.com/cricketers/david-wiese-221140,4.0,0,16,2,4.0,13,1,0,0,0,T20I # 1823
7,Namibia Vs Sri Lanka,Namibia,Bernard Scholtz,https://www.espncricinfo.com/cricketers/bernard-scholtz-330223,4.0,0,18,2,4.5,10,1,0,0,0,T20I # 1823
8,Namibia Vs Sri Lanka,Namibia,Ben Shikongo,https://www.espncricinfo.com/cricketers/ben-shikongo-1069820,3.0,1,22,2,7.33,6,3,0,0,0,T20I # 1823
9,Namibia Vs Sri Lanka,Namibia,JJ Smit,https://www.espncricinfo.com/cricketers/jj-smit-553821,3.0,0,16,1,5.33,7,0,0,1,0,T20I # 1823
10,Namibia Vs Sri Lanka,Namibia,Jan Frylinck,https://www.espncricinfo.com/cricketers/jan-frylinck-482478,4.0,0,26,2,6.5,10,0,2,1,0,T20I # 1823
11,United Arab Emirates Vs Netherlands,Netherlands,Fred Klaassen,https://www.espncricinfo.com/cricketers/fred-klaassen-1104703,4.0,0,13,2,3.25,18,0,0,3,0,T20I # 1825
12,United Arab Emirates Vs Netherlands,Netherlands,Tim Pringle,https://www.espncricinfo.com/cricketers/tim-pringle-1193548,4.0,0,13,1,3.25,11,0,0,0,0,T20I # 1825
13,United Arab Emirates Vs Netherlands,Netherlands,Logan van Beek,https://www.espncricinfo.com/cricketers/logan-van-beek-440522,2.0,0,19,0,9.5,5,0,2,1,0,T20I # 1825
14,United Arab Emirates Vs Netherlands,Netherlands,Bas de Leede,https://www.espncricinfo.com/cricketers/bas-de-leede-1036191,3.0,0,19,3,6.33,9,2,0,2,0,T20I # 1825
15,United Arab Emirates Vs Netherlands,Netherlands,Paul van Meekeren,https://www.espncricinfo.com/cricketers/paul-van-meekeren-348109,4.0,0,21,0,5.25,11,1,0,0,0,T20I # 1825
16,United Arab Emirates Vs Netherlands,Netherlands,Roelof van der Merwe,https://www.espncricinfo.com/cricketers/roelof-van-der-merwe-47850,3.0,0,19,1,6.33,7,0,1,0,0,T20I # 1825
17,United Arab Emirates Vs Netherlands,United Arab Emirates,Junaid Siddique,https://www.espncricinfo.com/cricketers/junaid-siddique-1203754,4.0,0,24,3,6.0,10,2,0,1,0,T20I # 1825
18,United Arab Emirates Vs Netherlands,United Arab Emirates,Basil Hameed,https://www.espncricinfo.com/cricketers/basil-hameed-1209110,1.0,0,7,1,7.0,4,0,1,0,0,T20I # 1825
19,United Arab Emirates Vs Netherlands,United Arab Emirates,Aayan Afzal Khan,https://www.espncricinfo.com/cricketers/aayan-afzal-khan-1241265,3.0,0,15,1,5.0,8,1,0,0,0,T20I # 1825
20,United Arab Emirates Vs Netherlands,United Arab Emirates,Karthik Meiyappan,https://www.espncricinfo.com/cricketers/karthik-meiyappan-1058987,4.0,0,22,1,5.5,11,2,0,0,0,T20I # 1825
21,United Arab Emirates Vs Netherlands,United Arab Emirates,Zahoor Khan,https://www.espncricinfo.com/cricketers/zahoor-khan-384525,4.0,0,11,1,2.75,14,0,0,0,0,T20I # 1825
22,United Arab Emirates Vs Netherlands,United Arab Emirates,Zawar Farid,https://www.espncricinfo.com/cricketers/zawar-farid-1196500,2.5,0,24,0,8.47,2,2,0,0,0,T20I # 1825
23,United Arab Emirates Vs Netherlands,United Arab Emirates,Kashif Daud,https://www.espncricinfo.com/cricketers/kashif-daud-229225,1.0,0,5,0,5.0,1,0,0,0,0,T20I # 1825
24,Scotland Vs West Indies,West Indies,Kyle Mayers,https://www.espncricinfo.com/cricketers/kyle-mayers-348056,2.0,0,24,0,12.0,5,5,0,2,0,T20I # 1826
25,Scotland Vs West Indies,West Indies,Akeal Hosein,https://www.espncricinfo.com/cricketers/akeal-hosein-530812,4.0,0,31,0,7.75,8,2,1,0,0,T20I # 1826
26,Scotland Vs West Indies,West Indies,Alzarri Joseph,https://www.espncricinfo.com/cricketers/alzarri-joseph-670031,4.0,0,28,2,7.0,9,3,0,2,0,T20I # 1826
27,Scotland Vs West Indies,West Indies,Obed McCoy,https://www.espncricinfo.com/cricketers/obed-mccoy-906783,3.0,0,25,0,8.33,6,4,0,0,0,T20I # 1826
28,Scotland Vs West Indies,West Indies,Jason Holder,https://www.espncricinfo.com/cricketers/jason-holder-391485,3.0,0,14,2,4.66,8,1,0,0,0,T20I # 1826
29,Scotland Vs West Indies,West Indies,Odean Smith,https://www.espncricinfo.com/cricketers/odean-smith-820691,4.0,0,31,1,7.75,6,3,0,1,0,T20I # 1826
30,Scotland Vs West Indies,Scotland,Mark Watt,https://www.espncricinfo.com/cricketers/mark-watt-659081,4.0,0,12,3,3.0,16,1,0,1,0,T20I # 1826
31,Scotland Vs West Indies,Scotland,Brad Wheal,https://www.espncricinfo.com/cricketers/brad-wheal-807535,4.0,0,32,2,8.0,10,4,1,0,0,T20I # 1826
32,Scotland Vs West Indies,Scotland,Josh Davey,https://www.espncricinfo.com/cricketers/josh-davey-407265,3.0,0,34,1,11.33,8,4,2,1,0,T20I # 1826
33,Scotland Vs West Indies,Scotland,Safyaan Sharif,https://www.espncricinfo.com/cricketers/safyaan-sharif-414970,3.3,0,23,1,6.57,7,2,0,2,0,T20I # 1826
34,Scotland Vs West Indies,Scotland,Michael Leask,https://www.espncricinfo.com/cricketers/michael-leask-414966,4.0,0,15,2,3.75,11,0,0,1,0,T20I # 1826
35,Zimbabwe Vs Ireland,Ireland,Josh Little,https://www.espncricinfo.com/cricketers/josh-little-928067,4.0,0,24,3,6.0,11,3,0,0,0,T20I # 1828
36,Zimbabwe Vs Ireland,Ireland,Mark Adair,https://www.espncricinfo.com/cricketers/mark-adair-526441,4.0,0,39,2,9.75,6,3,1,2,0,T20I # 1828
37,Zimbabwe Vs Ireland,Ireland,Barry McCarthy,https://www.espncricinfo.com/cricketers/barry-mccarthy-348059,4.0,0,24,0,6.0,11,2,0,2,0,T20I # 1828
38,Zimbabwe Vs Ireland,Ireland,Curtis Campher,https://www.espncricinfo.com/cricketers/curtis-campher-595921,3.0,0,29,0,9.66,6,2,2,0,0,T20I # 1828
39,Zimbabwe Vs Ireland,Ireland,Simi Singh,https://www.espncricinfo.com/cricketers/simi-singh-1005257,3.0,0,31,2,10.33,5,2,2,1,0,T20I # 1828
40,Zimbabwe Vs Ireland,Ireland,Gareth Delany,https://www.espncricinfo.com/cricketers/gareth-delany-1099379,2.0,0,21,0,10.5,4,2,1,1,0,T20I # 1828
41,Zimbabwe Vs Ireland,Zimbabwe,Richard Ngarava,https://www.espncricinfo.com/cricketers/richard-ngarava-806241,4.0,0,22,2,5.5,13,3,0,0,0,T20I # 1828
