,name,team,batting_style,bowling_style,playing_role,profile_url,profile_image
0,Simi Singh,Ireland,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Bowling Allrounder,https://www.espncricinfo.com/cricketers/simi-singh-1005257,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319800/319897.png"
1,Mosaddek Hossain,Bangladesh,Right hand Bat,Right arm Offbreak,Middle order Batter,https://www.espncricinfo.com/cricketers/mosaddek-hossain-550133,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319700/319733.png"
2,Tim Southee,New Zealand,Right hand Bat,Right arm Medium fast,Bowler,https://www.espncricinfo.com/cricketers/tim-southee-232364,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316500/316596.png"
3,Mark Adair,Ireland,Right hand Bat,Right arm Fast medium,Bowling Allrounder,https://www.espncricinfo.com/cricketers/mark-adair-526441,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319800/319892.png"
4,Axar Patel,India,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,https://www.espncricinfo.com/cricketers/axar-patel-554691,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/331100/331164.png"
5,David Wiese,Namibia,Right hand Bat,Right arm Medium fast,Allrounder,https://www.espncricinfo.com/cricketers/david-wiese-221140,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322000/322079.png"
6,Dushmantha Chameera,Sri Lanka,Right hand Bat,Right arm Fast,Bowler,https://www.espncricinfo.com/cricketers/dushmantha-chameera-552152,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319800/319862.png"
7,Yasir Ali,Bangladesh,Right hand Bat,Right arm Offbreak,Middle order Batter,https://www.espncricinfo.com/cricketers/yasir-ali-629059,nan
8,Ben Stokes,England,Left hand Bat,Right arm Fast medium,Allrounder,https://www.espncricinfo.com/cricketers/ben-stokes-311158,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319700/319748.png"
9,Iftikhar Ahmed,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,https://www.espncricinfo.com/cricketers/iftikhar-ahmed-480603,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322100/322153.png"
10,Tom Cooper,Netherlands,Right hand Bat,Right arm Offbreak,Middle order Batter,https://www.espncricinfo.com/cricketers/tom-cooper-219885,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322400/322485.png"
11,Sam Curran,England,Left hand Bat,Left arm Medium fast,Allrounder,https://www.espncricinfo.com/cricketers/sam-curran-662973,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/323100/323113.png"
12,Zahoor Khan,United Arab Emirates,Right hand Bat,Right arm Medium fast,Bowler,https://www.espncricinfo.com/cricketers/zahoor-khan-384525,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/320100/320104.png"
13,Andy Balbirnie,Ireland,Right hand Bat,Right arm Offbreak,Batter,https://www.espncricinfo.com/cricketers/andy-balbirnie-303423,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316637.png"
